date,team1,team2,output,Predicted Winner,Actual Winner Number,Actual Winner Name,Correct?,,,,
9/12/2021,NYG,DEN,1,NYG,0,DEN,0,,,,
9/12/2021,LAR,CHI,1,LAR,1,LAR,1,,,,
9/13/2021,OAK,BAL,0,BAL,1,OAK,0,,,,
9/16/2021,WSH,NYG,1,WSH,1,WSH,1,,,,
9/19/2021,CHI,CIN,1,CHI,1,CHI,1,,,,
9/19/2021,PHI,SF,1,PHI,0,SF,0,,,,
9/19/2021,IND,LAR,1,IND,0,LAR,0,,,,
9/19/2021,MIA,BUF,0,BUF,0,BUF,1,,,,
9/19/2021,CAR,NO,0,NO,1,CAR,0,,,,
9/19/2021,CLE,HOU,1,CLE,1,CLE,1,,,,
9/19/2021,JAX,DEN,0,DEN,0,DEN,1,,,,
9/19/2021,NYJ,NE,0,NE,0,NE,1,,,,
9/19/2021,PIT,OAK,1,PIT,0,OAK,0,,,,
9/19/2021,ARI,MIN,1,ARI,1,ARI,1,,,,
9/19/2021,TB,ATL,1,TB,1,TB,1,,,,
9/19/2021,LAC,DAL,1,LAC,0,DAL,0,,,,
9/19/2021,SEA,TEN,1,SEA,0,TEN,0,,,,
9/19/2021,BAL,KC,1,BAL,1,BAL,1,,,,
9/20/2021,GB,DET,1,GB,1,GB,1,,,,
9/23/2021,HOU,CAR,0,CAR,0,CAR,1,,,,
9/26/2021,NYG,ATL,0,ATL,0,ATL,1,,,,
9/26/2021,NE,NO,0,NO,0,NO,1,,,,
9/26/2021,CLE,CHI,1,CLE,1,CLE,1,,,,
9/26/2021,TEN,IND,1,TEN,1,TEN,1,,,,
9/26/2021,JAX,ARI,0,ARI,0,ARI,1,,,,
9/26/2021,PIT,CIN,1,PIT,0,CIN,0,,,,
9/26/2021,DET,BAL,0,BAL,0,BAL,1,,,,
9/26/2021,KC,LAC,1,KC,0,LAC,0,,,,
9/26/2021,BUF,WSH,1,BUF,1,BUF,1,,,,
9/26/2021,OAK,MIA,1,OAK,1,OAK,1,,,,
9/26/2021,DEN,NYJ,1,DEN,1,DEN,1,,,,
9/26/2021,MIN,SEA,0,SEA,1,MIN,0,,,,
9/26/2021,LAR,TB,1,LAR,1,LAR,1,,,,
9/26/2021,SF,GB,0,GB,0,GB,1,,,,
9/27/2021,DAL,PHI,1,DAL,1,DAL,1,,,,
9/30/2021,CIN,JAX,1,CIN,1,CIN,1,,,,
10/3/2021,ATL,WSH,1,ATL,0,WSH,0,,,,
10/3/2021,CHI,DET,1,CHI,1,CHI,1,,,,
10/3/2021,MIN,CLE,1,MIN,0,CLE,0,,,,
10/3/2021,MIA,IND,1,MIA,0,IND,0,,,,
10/3/2021,BUF,HOU,1,BUF,1,BUF,1,,,,
10/3/2021,NO,NYG,1,NO,0,NYG,0,,,,
10/3/2021,PHI,KC,0,KC,0,KC,1,,,,
10/3/2021,DAL,CAR,1,DAL,1,DAL,1,,,,
10/3/2021,NYJ,TEN,0,TEN,1,NYJ,0,,,,
10/3/2021,LAR,ARI,1,LAR,0,ARI,0,,,,
10/3/2021,SF,SEA,1,SF,0,SEA,0,,,,
10/3/2021,DEN,BAL,0,BAL,0,BAL,1,,,,
10/3/2021,GB,PIT,1,GB,1,GB,1,,,,
10/3/2021,NE,TB,0,TB,0,TB,1,,,,
10/4/2021,LAC,OAK,1,LAC,1,LAC,1,,,,
10/7/2021,SEA,LAR,1,SEA,0,LAR,0,,,,
10/10/2021,ATL,NYJ,1,ATL,1,ATL,1,,,,
10/10/2021,PIT,DEN,1,PIT,1,PIT,1,,,,
10/10/2021,CAR,PHI,1,CAR,0,PHI,0,,,,
10/10/2021,CIN,GB,0,GB,0,GB,1,,,,
10/10/2021,HOU,NE,0,NE,0,NE,1,,,,
10/10/2021,MIN,DET,1,MIN,1,MIN,1,,,,
10/10/2021,JAX,TEN,0,TEN,0,TEN,1,,,,
10/10/2021,WSH,NO,0,NO,0,NO,1,,,,
10/10/2021,TB,MIA,1,TB,1,TB,1,,,,
10/10/2021,OAK,CHI,1,OAK,0,CHI,0,,,,
10/10/2021,LAC,CLE,1,LAC,1,LAC,1,,,,
10/10/2021,ARI,SF,1,ARI,1,ARI,1,,,,
10/10/2021,DAL,NYG,1,DAL,1,DAL,1,,,,
10/10/2021,KC,BUF,1,KC,0,BUF,0,,,,
10/11/2021,BAL,IND,1,BAL,1,BAL,1,,,,
10/14/2021,PHI,TB,0,TB,0,TB,1,,,,
10/17/2021,JAX,MIA,1,JAX,1,JAX,1,,,,
10/17/2021,CHI,GB,0,GB,0,GB,1,,,,
10/17/2021,IND,HOU,1,IND,1,IND,1,,,,
10/17/2021,BAL,LAC,1,BAL,1,BAL,1,,,,
10/17/2021,WSH,KC,0,KC,0,KC,1,,,,
10/17/2021,DET,CIN,0,CIN,0,CIN,1,,,,
10/17/2021,NYG,LAR,0,LAR,0,LAR,1,,,,
10/17/2021,CAR,MIN,1,CAR,0,MIN,0,,,,
10/17/2021,CLE,ARI,1,CLE,0,ARI,0,,,,
10/17/2021,NE,DAL,0,DAL,0,DAL,1,,,,
10/17/2021,DEN,OAK,1,DEN,0,OAK,0,,,,
10/17/2021,PIT,SEA,1,PIT,1,PIT,1,,,,
10/18/2021,TEN,BUF,0,BUF,1,TEN,0,,,,
10/21/2021,CLE,DEN,1,CLE,1,CLE,1,,,,
10/24/2021,NYG,CAR,1,NYG,1,NYG,1,,,,
10/24/2021,BAL,CIN,1,BAL,0,CIN,0,,,,
10/24/2021,NE,NYJ,1,NE,1,NE,1,,,,
10/24/2021,MIA,ATL,0,ATL,0,ATL,1,,,,
10/24/2021,TEN,KC,1,TEN,1,TEN,1,,,,
10/24/2021,GB,WSH,1,GB,1,GB,1,,,,
10/24/2021,LAR,DET,1,LAR,1,LAR,1,,,,
10/24/2021,OAK,PHI,1,OAK,1,OAK,1,,,,
10/24/2021,TB,CHI,1,TB,1,TB,1,,,,
10/24/2021,ARI,HOU,1,ARI,1,ARI,1,,,,
10/24/2021,SF,IND,1,SF,0,IND,0,,,,
10/25/2021,SEA,NO,0,NO,0,NO,1,,,,
10/28/2021,ARI,GB,1,ARI,0,GB,0,,,,
10/31/2021,HOU,LAR,0,LAR,0,LAR,1,,,,
10/31/2021,NYJ,CIN,0,CIN,1,NYJ,0,,,,
